name	charge	inchikey
5-Phospho-D-ribosyl-N-formylglycineamide	-2	VDXLUNDMVKSKHO-XVFCMESISA-L
5-Phospho-D-ribosyl-N-formylglycineamidine	-2	PMCOGCVKOAOZQM-XVFCMESISA-N
5-Aminoimidazole ribonucleotide	-2	PDACUKOKVHBVHJ-XVFCMESISA-N
4-Carboxyaminoimidazole ribonucleotide	-3	XFVULMDJZXYMSG-ZIYNGMLESA-K
1-(5-Phosphoribosyl)-4-(N-succino-carboxamide)-5-aminoimidazole	-4	NAQGHJTUZRHGAC-LBGUGVGYSA-J
5-phosphoribosyl-5-formamido-4-imidazole carboxamide	-2	ABCOOORLYAOBOZ-KQYNXXCUSA-L
Inosine 5'phosphate	-2	GRSZFWQUAKGDAV-KQYNXXCUSA-N
Inosine 5'phosphate	-2	GRSZFWQUAKGDAV-KQYNXXCUSA-N
Xanthosine 5-phosphate	-2	DCTLYFZHFGENCW-UUOKFMHZSA-L
Guanosine 5-phosphate	-1	RQFCJASXJCIDSX-UUOKFMHZSA-N
Guanosine triphosphate	-3	XKMLYUALXHKNFT-UUOKFMHZSA-N
N6-(1,2-Dicarboxyethyl)-AMP	-4	OFBHPPMPBOJXRT-VWJPMABRSA-N
Guanosine diphosphate	-2	QGWNDRXFNXRZMB-UUOKFMHZSA-N
N-Carbamoyl-L-aspartate	-2	HLKXYZVTANABHZ-REOHCLBHSA-N
Dihydroorotate	-2	UFIVEPVSAGBUSI-UHFFFAOYSA-M
Dihydroorotate	-2	UFIVEPVSAGBUSI-UHFFFAOYSA-M
Orotate	-1	PXQPEWDEAKTCGB-UHFFFAOYSA-M
Orotate	-1	PXQPEWDEAKTCGB-UHFFFAOYSA-M
Orotidine 5-phosphate	-3	KYOBSHFOBAOFBF-XVFCMESISA-N
Uridine 5-phosphate	-2	DJJCXFVJDGTHFX-XVFCMESISA-N
Cytidine triphosphate	-4	PCDQPRRSZKQHHS-XVFCMESISA-N
Guanosine diphosphate	-2	QGWNDRXFNXRZMB-UUOKFMHZSA-N
Cytidine diphosphate	-2	ZWIADYZPOWUWEW-XVFCMESISA-N
2-Deoxyadenosine 5-diphosphate	-2	DAEAPNUQQAICNR-RRKCRQDMSA-N
